n_qubits,field_strength,gate_error,physical_candidate_count,physical_validity_tol,energy_winner_label,energy_winner_ansatz,energy_winner_depth,energy_winner_optimizer,energy_winner_energy,energy_winner_physical_valid,energy_winner_symmetry_breaking_error,energy_winner_x_parity,energy_winner_target_x_parity_sector,energy_winner_physical_validity_reason,physics_winner_label,physics_winner_ansatz,physics_winner_depth,physics_winner_optimizer,physics_winner_energy,physics_winner_physical_valid,physics_winner_filtered_exact_gap,physics_winner_symmetry_breaking_error,physics_winner_filtered_observable_error_l2,physics_winner_target_x_parity_sector,physics_winner_physical_validity_reason,budget_winner_label,budget_winner_ansatz,budget_winner_depth,budget_winner_optimizer,budget_winner_estimated_total_shots_used,budget_winner_transpiled_two_qubit_gate_count,budget_winner_transpiled_depth,budget_winner_physical_valid,false_winner_flag,winner_selection_rule,crossover_symmetry_penalty,crossover_observable_penalty,regime_label,noise_regime,energy_vs_physics_cost_sigma,physics_vs_budget_cost_sigma,energy_vs_physics_energy_delta,physics_vs_budget_shot_delta,physics_vs_budget_two_qubit_delta
4,0.5,0.005,0,0.05,n4_h0.50_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,0.028435944503693016,False,0.2583453858499178,0.48330922830016443,1,target_x_parity_sector_mismatch>0.050,n4_h0.50_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,0.028435944503693016,False,3.4396432001665636,0.2583453858499178,0.4975197195777293,1,target_x_parity_sector_mismatch>0.050,n4_h0.50_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,896,12,13,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,weak_field,low_noise,0.0,0.0,0.0,0.0,0.0
4,0.5,0.01,0,0.05,n4_h0.50_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.33734904608542693,False,0.38110398246966587,0.2377920350606683,1,target_x_parity_sector_mismatch>0.050,n4_h0.50_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.33734904608542693,False,2.9363823172648353,0.38110398246966587,0.40778915823248935,1,target_x_parity_sector_mismatch>0.050,n4_h0.50_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,896,12,13,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,weak_field,moderate_noise,0.0,0.0,0.0,0.0,0.0
4,1.0,0.005,0,0.05,n4_h1.00_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.5081908051608854,False,0.25834538584991784,0.4833092283001643,1,target_x_parity_sector_mismatch>0.050,n4_h1.00_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.5081908051608854,False,4.033050519272955,0.25834538584991784,0.4833815330361093,1,target_x_parity_sector_mismatch>0.050,n4_h1.00_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,896,12,13,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,near_critical,low_noise,0.0,0.0,0.0,0.0,0.0
4,1.0,0.01,0,0.05,n4_h1.00_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.04153664511801819,False,0.3811039824696659,0.2377920350606682,1,target_x_parity_sector_mismatch>0.050,n4_h1.00_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.04153664511801819,False,4.682360060409509,0.3811039824696659,0.5157733976106044,1,target_x_parity_sector_mismatch>0.050,n4_h1.00_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,896,12,13,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,near_critical,moderate_noise,0.0,0.0,0.0,0.0,0.0
4,1.5,0.005,0,0.05,n4_h1.50_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.07543536015045971,False,0.25834538584991784,0.4833092283001643,1,target_x_parity_sector_mismatch>0.050,n4_h1.50_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.07543536015045971,False,6.340107039025085,0.25834538584991784,0.7256918339914319,1,target_x_parity_sector_mismatch>0.050,n4_h1.50_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,896,12,13,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,strong_field,low_noise,0.0,0.0,0.0,0.0,0.0
4,1.5,0.01,0,0.05,n4_h1.50_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.3465603794539032,False,0.3811039824696658,0.23779203506066837,1,target_x_parity_sector_mismatch>0.050,n4_h1.50_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.3465603794539032,False,6.184858153585212,0.3811039824696658,0.7129351047448247,1,target_x_parity_sector_mismatch>0.050,n4_h1.50_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,896,12,13,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,strong_field,moderate_noise,0.0,0.0,0.0,0.0,0.0
6,0.5,0.005,0,0.05,n6_h0.50_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.4115017789854884,False,0.349244500632717,0.301510998734566,1,target_x_parity_sector_mismatch>0.050,n6_h0.50_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.4115017789854884,False,5.08408957048893,0.349244500632717,0.5049527137711584,1,target_x_parity_sector_mismatch>0.050,n6_h0.50_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,896,20,16,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,weak_field,low_noise,0.0,0.0,0.0,0.0,0.0
6,0.5,0.01,0,0.05,n6_h0.50_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,0.020119949536975018,False,0.45330511652798244,0.09338976694403513,1,target_x_parity_sector_mismatch>0.050,n6_h0.50_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,0.020119949536975018,False,5.571510575179964,0.45330511652798244,0.49774722750537354,1,target_x_parity_sector_mismatch>0.050,n6_h0.50_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,896,20,16,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,weak_field,moderate_noise,0.0,0.0,0.0,0.0,0.0
6,1.0,0.005,0,0.05,n6_h1.00_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.9245694698999354,False,0.34924450063271717,0.3015109987345656,1,target_x_parity_sector_mismatch>0.050,n6_h1.00_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.9245694698999354,False,6.3180742238122765,0.34924450063271717,0.6184615500440049,1,target_x_parity_sector_mismatch>0.050,n6_h1.00_e0.005_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,896,20,16,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,near_critical,low_noise,0.0,0.0,0.0,0.0,0.0
6,1.0,0.01,0,0.05,n6_h1.00_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.6835745625016858,False,0.4533051165279825,0.09338976694403497,1,target_x_parity_sector_mismatch>0.050,n6_h1.00_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,-0.6835745625016858,False,6.588927628949074,0.4533051165279825,0.5750715988508974,1,target_x_parity_sector_mismatch>0.050,n6_h1.00_e0.010_problem_inspired_d2_SPSA_s17,problem_inspired,2,SPSA,896,20,16,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,near_critical,moderate_noise,0.0,0.0,0.0,0.0,0.0
