n_qubits,regime_label,noise_regime,gate_error,num_runs,valid_fraction,false_winner_rate,mean_filtered_exact_gap,std_filtered_exact_gap,mean_fidelity_to_exact,mean_symmetry_breaking_error,mean_measurement_total_standard_error,mean_estimated_total_shots_used,mean_transpiled_two_qubit_gate_count,mean_zne_mitigation_gain,dominant_energy_winner_ansatz,dominant_physics_winner_ansatz,dominant_budget_winner_ansatz,behavior_risk_score
4,near_critical,low_noise,0.005,1,0.0,0.0,4.033050519272955,0.0,0.20779447180282568,0.25834538584991784,0.5100312107484207,896.0,12.0,0.12499999999999994,problem_inspired,problem_inspired,problem_inspired,4.925602279606028
4,near_critical,moderate_noise,0.01,1,0.0,0.0,4.682360060409509,0.0,0.11144244119294683,0.3811039824696659,0.5032851065127002,896.0,12.0,0.1562499999999999,problem_inspired,problem_inspired,problem_inspired,5.825153928007842
4,strong_field,low_noise,0.005,1,0.0,0.0,6.340107039025085,0.0,0.08997978014691724,0.25834538584991784,0.5793905068043487,896.0,12.0,0.3593749999999999,problem_inspired,problem_inspired,problem_inspired,7.327916022624953
4,strong_field,moderate_noise,0.01,1,0.0,0.0,6.184858153585212,0.0,0.07130068369677528,0.3811039824696658,0.5885877563074176,896.0,12.0,0.1406249999999999,problem_inspired,problem_inspired,problem_inspired,7.419593772864459
4,weak_field,low_noise,0.005,1,0.0,0.0,3.4396432001665636,0.0,0.1362854055950035,0.2583453858499178,0.39404750665370286,896.0,12.0,0.07812499999999997,problem_inspired,problem_inspired,problem_inspired,4.277737655087683
4,weak_field,moderate_noise,0.01,1,0.0,0.0,2.9363823172648353,0.0,0.12039516939021942,0.38110398246966587,0.3689287172849248,896.0,12.0,0.12499999999999989,problem_inspired,problem_inspired,problem_inspired,3.985001930404752
6,near_critical,low_noise,0.005,1,0.0,0.0,6.3180742238122765,0.0,0.006265443272630739,0.34924450063271717,0.5375317941177992,896.0,20.0,0.46874999999999956,problem_inspired,problem_inspired,problem_inspired,7.439944509647611
6,near_critical,moderate_noise,0.01,1,0.0,0.0,6.588927628949074,0.0,0.02350931925789005,0.4533051165279825,0.5227957820100503,896.0,20.0,-0.12500000000000022,problem_inspired,problem_inspired,problem_inspired,7.900703652722789
6,strong_field,low_noise,0.005,1,0.0,0.0,9.916863482261459,0.0,0.03331767745780634,0.34924450063271717,0.8134009428012732,896.0,20.0,-0.15624999999999978,problem_inspired,problem_inspired,problem_inspired,11.168588515134532
6,strong_field,moderate_noise,0.01,1,0.0,0.0,9.400684853657172,0.0,0.024515992207538598,0.4533051165279825,0.7254065064564661,896.0,20.0,0.09374999999999989,problem_inspired,problem_inspired,problem_inspired,10.82677410948437
6,weak_field,low_noise,0.005,1,0.0,0.0,5.08408957048893,0.0,0.018547942219624823,0.349244500632717,0.4215493534829285,896.0,20.0,-0.29687499999999994,problem_inspired,problem_inspired,problem_inspired,6.1195914269386185
6,weak_field,moderate_noise,0.01,1,0.0,0.0,5.571510575179964,0.0,0.012696501716392635,0.45330511652798244,0.5082029748750739,896.0,20.0,-0.0625,problem_inspired,problem_inspired,problem_inspired,6.856659102549809
