n_qubits,field_strength,gate_error,ansatz,depth,optimizer,num_seeds,shot_allocation_strategy,dynamic_shots_enabled,zne_enabled,mean_exact_gap,std_exact_gap,mean_filtered_exact_gap,std_filtered_exact_gap,mean_cost_standard_error,std_cost_standard_error,mean_unmitigated_cost_standard_error,std_unmitigated_cost_standard_error,mean_observable_error_l2,std_observable_error_l2,mean_filtered_observable_error_l2,std_filtered_observable_error_l2,mean_symmetry_postselection_rate,std_symmetry_postselection_rate,mean_sampled_postselection_rate,std_sampled_postselection_rate,mean_sampled_postselection_standard_error,std_sampled_postselection_standard_error,mean_mitigated_sampled_postselection_rate,std_mitigated_sampled_postselection_rate,mean_mitigated_sampled_postselection_standard_error,std_mitigated_sampled_postselection_standard_error,mean_measurement_total_standard_error,std_measurement_total_standard_error,mean_symmetry_breaking_error,std_symmetry_breaking_error,mean_physics_score,std_physics_score,mean_fidelity_to_exact,std_fidelity_to_exact,mean_execution_time,std_execution_time,mean_zne_mitigation_gain,std_zne_mitigation_gain,mean_estimated_total_shots_used,std_estimated_total_shots_used,mean_avg_shots_per_eval,std_avg_shots_per_eval,mean_transpiled_depth,std_transpiled_depth,mean_transpiled_two_qubit_gate_count,std_transpiled_two_qubit_gate_count,mean_transpiled_entangling_layer_count,std_transpiled_entangling_layer_count,mean_magnetization_x,std_magnetization_x,mean_magnetization_z,std_magnetization_z,mean_correlation_xx_mean,std_correlation_xx_mean,mean_correlation_zz_mean,std_correlation_zz_mean,mean_connected_correlation_xx_mean,std_connected_correlation_xx_mean,mean_connected_correlation_zz_mean,std_connected_correlation_zz_mean,mean_energy_variance,std_energy_variance,mean_energy_stddev,std_energy_stddev,mean_relative_energy_stddev,std_relative_energy_stddev,mean_half_chain_entropy,std_half_chain_entropy,mean_gap_improvement
4,0.5,0.005,problem_inspired,2,SPSA,1,equal,False,True,3.455470033411777,0.0,3.4396432001665636,0.0,0.39404750665370286,0.0,0.39404750665370286,0.0,0.5011963716857607,0.0,0.4975197195777293,0.0,0.7416546141500802,0.0,0.765625,0.0,0.052950944186429524,0.0,0.765625,0.0,0.052950944186429524,0.0,0.39404750665370286,0.0,0.2583453858499178,0.0,4.080713901760832,0.0,0.1362854055950035,0.0,1.4127159118652344,0.0,0.07812499999999997,0.0,896.0,0.0,128.0,0.0,13.0,0.0,12.0,0.0,10.0,0.0,0.1280116706865318,0.0,0.0010181581291514759,0.0,0.22653340377749837,0.0,-0.09481976195891886,0.0,0.20787882099691532,0.0,-0.09482122929528196,0.0,4.566573992972367,0.0,2.136954373161104,0.0,75.14975888645354,0.0,1.7543339534389222,0.0,0.01582683324521339
4,0.5,0.01,problem_inspired,2,SPSA,1,equal,False,True,3.0896850428226568,0.0,2.9363823172648353,0.0,0.3689287172849248,0.0,0.3689287172849248,0.0,0.4376270836759032,0.0,0.40778915823248935,0.0,0.6188960175303376,0.0,0.5625,0.0,0.062009796353076345,0.0,0.5625,0.0,0.062009796353076345,0.0,0.3689287172849248,0.0,0.38110398246966587,0.0,3.8005375717622893,0.0,0.12039516939021942,0.0,1.410823106765747,0.0,0.12499999999999989,0.0,896.0,0.0,128.0,0.0,13.0,0.0,12.0,0.0,10.0,0.0,0.01905714499506369,0.0,0.001395648409503663,0.0,0.22294388453601377,0.0,0.09974491869843317,0.0,0.21348700370275195,0.0,0.09974262465533422,0.0,4.17815038101591,0.0,2.0440524408673837,0.0,6.059161763124619,0.0,1.8272571864347917,0.0,0.15330272555782143
4,1.0,0.005,problem_inspired,2,SPSA,1,equal,False,True,4.250579677982751,0.0,4.033050519272955,0.0,0.5100312107484207,0.0,0.5100312107484207,0.0,0.5214822824909651,0.0,0.4833815330361093,0.0,0.74165461415008,0.0,0.734375,0.0,0.055208179785556914,0.0,0.734375,0.0,0.055208179785556914,0.0,0.5100312107484207,0.0,0.25834538584991784,0.0,4.670586674231817,0.0,0.20779447180282568,0.0,0.9842779636383057,0.0,0.12499999999999994,0.0,896.0,0.0,128.0,0.0,13.0,0.0,12.0,0.0,10.0,0.0,0.09921265987231902,0.0,0.0011853381559361366,0.0,0.20514719393807596,0.0,0.03711338855720314,0.0,0.18298815988794312,0.0,0.03711026061001967,0.0,8.467815039138575,0.0,2.90995103724076,0.0,5.726099346326257,0.0,1.8254602012468377,0.0,0.21752915870979628
4,1.0,0.01,problem_inspired,2,SPSA,1,equal,False,True,4.717233838025618,0.0,4.682360060409509,0.0,0.5032851065127002,0.0,0.5032851065127002,0.0,0.5524358521646485,0.0,0.5157733976106044,0.0,0.6188960175303375,0.0,0.59375,0.0,0.06139153767774106,0.0,0.59375,0.0,0.06139153767774106,0.0,0.5032851065127002,0.0,0.3811039824696659,0.0,5.573511374751492,0.0,0.11144244119294683,0.0,1.1148056983947754,0.0,0.1562499999999999,0.0,896.0,0.0,128.0,0.0,13.0,0.0,12.0,0.0,10.0,0.0,-0.018097305387245896,0.0,0.00095044481858725,0.0,0.24533552131277098,0.0,0.037975288889000584,0.0,0.24160250161030272,0.0,0.037974409226468296,0.0,7.988011960675232,0.0,2.826307124265732,0.0,68.04370252424907,0.0,1.7839933811239623,0.0,0.034873777616109436
4,1.5,0.005,problem_inspired,2,SPSA,1,equal,False,True,6.428456196975961,0.0,6.340107039025085,0.0,0.5793905068043487,0.0,0.5793905068043487,0.0,0.7115936624915961,0.0,0.7256918339914319,0.0,0.74165461415008,0.0,0.84375,0.0,0.045386523588368165,0.0,0.84375,0.0,0.045386523588368165,0.0,0.5793905068043487,0.0,0.25834538584991784,0.0,7.038220769222779,0.0,0.08997978014691724,0.0,0.9750258922576904,0.0,0.3593749999999999,0.0,896.0,0.0,128.0,0.0,13.0,0.0,12.0,0.0,10.0,0.0,0.05775313504022258,0.0,0.002387059269003535,0.0,-0.13335895158081262,0.0,-0.09036115003029192,0.0,-0.05831879459192752,0.0,-0.09036405535918006,0.0,11.778813775119264,0.0,3.432027647778972,0.0,45.49627178731057,0.0,1.7286187066251573,0.0,0.0883491579508755
4,1.5,0.01,problem_inspired,2,SPSA,1,equal,False,True,6.157331177672517,0.0,6.184858153585212,0.0,0.5885877563074176,0.0,0.5885877563074176,0.0,0.6901056388191685,0.0,0.7129351047448247,0.0,0.6188960175303382,0.0,0.6875,0.0,0.05793905068043487,0.0,0.6875,0.0,0.05793905068043487,0.0,0.5885877563074176,0.0,0.3811039824696658,0.0,7.125299894710751,0.0,0.07130068369677528,0.0,1.060542106628418,0.0,0.1406249999999999,0.0,896.0,0.0,128.0,0.0,13.0,0.0,12.0,0.0,10.0,0.0,0.03450928107703057,0.0,0.0015902255413216514,0.0,-0.10329065020305857,0.0,0.04650156433057328,0.0,-0.09895980586447167,0.0,0.046502200468618284,0.0,10.451767231918428,0.0,3.232919304888142,0.0,9.328588888269497,0.0,1.858442108387699,0.0,-0.027526975912695484
6,0.5,0.005,problem_inspired,2,SPSA,1,equal,False,True,5.11052779181473,0.0,5.08408957048893,0.0,0.4215493534829285,0.0,0.4215493534829285,0.0,0.4966184850710127,0.0,0.5049527137711584,0.0,0.6507554993672793,0.0,0.71875,0.0,0.056201150663820934,0.0,0.71875,0.0,0.056201150663820934,0.0,0.4215493534829285,0.0,0.349244500632717,0.0,5.908816750197154,0.0,0.018547942219624823,0.0,1.0967271327972412,0.0,-0.29687499999999994,0.0,896.0,0.0,128.0,0.0,16.0,0.0,20.0,0.0,14.0,0.0,0.14161195053875217,0.0,0.002508573842776396,0.0,-0.16821222212533066,0.0,-0.0026668145261536207,0.0,-0.16423754821830197,0.0,-0.002671688341389243,0.0,6.0898826345704355,0.0,2.4677687562999973,0.0,5.996981987256544,0.0,2.1353635098503183,0.0,0.026438221325799205
6,0.5,0.01,problem_inspired,2,SPSA,1,equal,False,True,5.542149520337192,0.0,5.571510575179964,0.0,0.5082029748750739,0.0,0.5082029748750739,0.0,0.49525479945413553,0.0,0.49774722750537354,0.0,0.546694883472024,0.0,0.578125,0.0,0.061732346208121514,0.0,0.578125,0.0,0.061732346208121514,0.0,0.5082029748750739,0.0,0.45330511652798244,0.0,6.602557615112272,0.0,0.012696501716392635,0.0,1.0526232719421387,0.0,-0.0625,0.0,896.0,0.0,128.0,0.0,16.0,0.0,20.0,0.0,14.0,0.0,0.040441623338149726,0.0,0.001104210379651945,0.0,0.013255059235330949,0.0,-0.028288963910284848,0.0,0.01700588901326284,0.0,-0.02828883694823548,0.0,5.875647352237292,0.0,2.4239734636000643,0.0,120.47612043685585,0.0,2.8686585108645475,0.0,-0.02936105484277185
6,1.0,0.005,problem_inspired,2,SPSA,1,equal,False,True,6.371660340658815,0.0,6.3180742238122765,0.0,0.5375317941177992,0.0,0.5375317941177992,0.0,0.6055047906059932,0.0,0.6184615500440049,0.0,0.6507554993672788,0.0,0.625,0.0,0.06051536478449089,0.0,0.625,0.0,0.06051536478449089,0.0,0.5375317941177992,0.0,0.34924450063271717,0.0,7.171178612588712,0.0,0.006265443272630739,0.0,1.0721418857574463,0.0,0.46874999999999956,0.0,896.0,0.0,128.0,0.0,16.0,0.0,20.0,0.0,14.0,0.0,0.13432966131849866,0.0,0.0016873562083887029,0.0,-0.1550310234244039,0.0,0.023718300397788685,0.0,-0.1119875195332769,0.0,0.02371558113051742,0.0,8.107524509696129,0.0,2.847371508900117,0.0,3.0796728656942167,0.0,2.298161165680657,0.0,0.0535861168465388
6,1.0,0.01,problem_inspired,2,SPSA,1,equal,False,True,6.612655248057065,0.0,6.588927628949074,0.0,0.5227957820100503,0.0,0.5227957820100503,0.0,0.5728969221854191,0.0,0.5750715988508974,0.0,0.5466948834720236,0.0,0.546875,0.0,0.062224735633101526,0.0,0.546875,0.0,0.062224735633101526,0.0,0.5227957820100503,0.0,0.4533051165279825,0.0,7.639305761717764,0.0,0.02350931925789005,0.0,1.115265130996704,0.0,-0.12500000000000022,0.0,896.0,0.0,128.0,0.0,16.0,0.0,20.0,0.0,14.0,0.0,0.09585311465968718,0.0,0.0010578921450393563,0.0,-0.031218673829149904,0.0,0.021691174908712536,0.0,-0.005399792463529912,0.0,0.021691612670355416,0.0,9.893632529218795,0.0,3.1454145242271,0.0,4.601421259322158,0.0,2.8054576969073453,0.0,0.023727619107990705
