n_qubits,regime_label,noise_regime,gate_error,num_runs,valid_fraction,false_winner_rate,mean_filtered_exact_gap,std_filtered_exact_gap,mean_fidelity_to_exact,mean_symmetry_breaking_error,mean_measurement_total_standard_error,mean_estimated_total_shots_used,mean_transpiled_two_qubit_gate_count,mean_zne_mitigation_gain,dominant_energy_winner_ansatz,dominant_physics_winner_ansatz,dominant_budget_winner_ansatz,behavior_risk_score
4,near_critical,ideal,0.0,3,0.6666666666666666,0.0,1.404268506585377,0.6376997404079237,0.5459011699304221,0.18836928471849096,,,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,1.8506201132132212
4,near_critical,low_noise,0.005,3,0.0,0.0,1.6939375988479084,0.7419602311293138,0.5201302791166786,0.17843912382067664,0.054964617190044626,65536.0,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,2.1623670080665582
4,near_critical,moderate_noise,0.01,3,0.0,0.0,1.9110588715909491,0.7156197393448597,0.442268802019426,0.25056763926914,0.05663098393499029,65536.0,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,2.5290279531842588
4,strong_field,ideal,0.0,3,0.6666666666666666,0.0,2.059440414008255,0.9782183491487593,0.5607674619533678,0.18099286491321412,,,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,2.494539604687163
4,strong_field,low_noise,0.005,3,0.0,0.0,2.023437137689776,0.7914475463285234,0.5866005814958184,0.17115687246676173,0.07710561103188644,65536.0,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,2.4635979521499296
4,strong_field,moderate_noise,0.01,3,0.0,0.0,2.4126749541937564,0.8203064430552021,0.4930451782900913,0.24266267778988518,0.07783419234469623,65536.0,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,3.005288603970409
4,weak_field,ideal,0.0,3,0.6666666666666666,1.0,0.9910352192569768,0.3653878275898186,0.516258625060491,0.16026292698803005,,,4.0,0.0,hardware_efficient,symmetry_preserving,symmetry_preserving,1.3676788550249634
4,weak_field,low_noise,0.005,3,0.0,0.0,1.1727148058018513,0.5624035126168765,0.4981860695512868,0.17952198297568434,0.03823743473941593,65536.0,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,1.6129913678543522
4,weak_field,moderate_noise,0.01,3,0.0,0.0,1.3724569919638852,0.5731537067707632,0.4279520572608905,0.25327010316535714,0.04089676137854867,65536.0,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,1.9662234827027592
6,near_critical,ideal,0.0,3,0.6666666666666666,1.0,4.005479592692707,1.0979778411027736,0.16770849310722183,0.1707494857173412,,,6.666666666666667,0.0,hardware_efficient,symmetry_preserving,symmetry_preserving,4.4626585393675
6,near_critical,low_noise,0.005,3,0.0,0.0,3.9365603251093244,1.086510264210093,0.1876134469071385,0.2669671164429375,0.06959305412787177,80554.66666666667,6.666666666666667,0.0,hardware_efficient,hardware_efficient,symmetry_preserving,4.606476442856973
6,near_critical,moderate_noise,0.01,3,0.0,0.0,4.5263151287889505,0.7246288746728529,0.10168081418779118,0.36030744282372135,0.06940775102739541,80554.66666666667,6.666666666666667,0.0,hardware_efficient,hardware_efficient,symmetry_preserving,5.4033235814915335
6,strong_field,ideal,0.0,3,0.6666666666666666,1.0,5.029866258067786,1.649386025567399,0.19505346987148087,0.15249265189505115,,,6.666666666666667,0.0,hardware_efficient,symmetry_preserving,symmetry_preserving,5.46643995920121
6,strong_field,low_noise,0.005,3,0.0,0.0,5.287609718461138,0.8143297455488381,0.14502927039796804,0.27646129574646694,0.08588464825180504,80554.66666666667,6.666666666666667,0.0,hardware_efficient,hardware_efficient,symmetry_preserving,6.015538646057291
6,strong_field,moderate_noise,0.01,3,0.0,0.0,6.005277517259444,0.5259768773644365,0.10264192313744633,0.3655693663114833,0.08586259660879426,80554.66666666667,6.666666666666667,0.0,hardware_efficient,hardware_efficient,symmetry_preserving,6.911397428497301
6,weak_field,ideal,0.0,3,0.6666666666666666,1.0,3.0302945593958683,1.1858691052119608,0.18035455777026832,0.13081073073067365,,,6.666666666666667,0.0,hardware_efficient,symmetry_preserving,symmetry_preserving,3.3757384959709285
6,weak_field,low_noise,0.005,3,0.0,0.0,3.3744089635679764,1.0595551130921763,0.13380310525854103,0.27292900060578257,0.05214821283248308,80554.66666666667,6.666666666666667,0.0,hardware_efficient,hardware_efficient,symmetry_preserving,4.031327957592631
6,weak_field,moderate_noise,0.01,3,0.0,0.0,3.6666259149365397,1.014207298115722,0.10288112404840506,0.3676047181305076,0.05354367870057068,80554.66666666667,6.666666666666667,0.0,hardware_efficient,hardware_efficient,symmetry_preserving,4.51726970273757
