n_qubits,field_strength,gate_error,physical_candidate_count,physical_validity_tol,energy_winner_label,energy_winner_ansatz,energy_winner_depth,energy_winner_optimizer,energy_winner_energy,energy_winner_physical_valid,energy_winner_symmetry_breaking_error,energy_winner_x_parity,energy_winner_target_x_parity_sector,energy_winner_physical_validity_reason,physics_winner_label,physics_winner_ansatz,physics_winner_depth,physics_winner_optimizer,physics_winner_energy,physics_winner_physical_valid,physics_winner_filtered_exact_gap,physics_winner_symmetry_breaking_error,physics_winner_filtered_observable_error_l2,physics_winner_target_x_parity_sector,physics_winner_physical_validity_reason,budget_winner_label,budget_winner_ansatz,budget_winner_depth,budget_winner_optimizer,budget_winner_estimated_total_shots_used,budget_winner_transpiled_two_qubit_gate_count,budget_winner_transpiled_depth,budget_winner_physical_valid,false_winner_flag,winner_selection_rule,crossover_symmetry_penalty,crossover_observable_penalty,regime_label,noise_regime,energy_vs_physics_cost_sigma,physics_vs_budget_cost_sigma,energy_vs_physics_energy_delta,physics_vs_budget_shot_delta,physics_vs_budget_two_qubit_delta
4,0.5,0.0,2,0.05,n4_h0.50_e0.000_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-2.6317880476365727,True,3.3306690738754696e-16,0.9999999999999993,1,passes_target_x_parity_tolerance,n4_h0.50_e0.000_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-2.6317880476365727,True,0.7952460412715094,3.3306690738754696e-16,0.15701990744885372,1,passes_target_x_parity_tolerance,n4_h0.50_e0.000_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,,3,5,True,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,weak_field,ideal,,,0.0,0.0,0.0
4,0.5,0.005,0,0.05,n4_h0.50_e0.005_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-2.4309960594822684,False,0.0963178218262844,0.8073643563474312,1,target_x_parity_sector_mismatch>0.050,n4_h0.50_e0.005_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-2.4309960594822684,False,0.8590474549204377,0.0963178218262844,0.16266173133369144,1,target_x_parity_sector_mismatch>0.050,n4_h0.50_e0.005_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,61440,3,5,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,weak_field,low_noise,0.0,0.0,0.0,0.0,0.0
4,0.5,0.01,0,0.05,n4_h0.50_e0.010_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-2.207343147951971,False,0.17031954583576941,0.6593609083284612,1,target_x_parity_sector_mismatch>0.050,n4_h0.50_e0.010_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-2.207343147951971,False,0.994118284945471,0.17031954583576941,0.17718003163816828,1,target_x_parity_sector_mismatch>0.050,n4_h0.50_e0.010_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,61440,3,5,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,weak_field,moderate_noise,0.0,0.0,0.0,0.0,0.0
4,1.0,0.0,2,0.05,n4_h1.00_e0.000_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-4.196998734431482,True,2.7755575615628914e-16,0.9999999999999994,1,passes_target_x_parity_tolerance,n4_h1.00_e0.000_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-4.196998734431482,True,0.5617717487121521,2.7755575615628914e-16,0.09524512920448053,1,passes_target_x_parity_tolerance,n4_h1.00_e0.000_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,,3,5,True,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,near_critical,ideal,,,0.0,0.0,0.0
4,1.0,0.005,0,0.05,n4_h1.00_e0.005_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-3.672774314631813,False,0.09631782182628457,0.8073643563474309,1,target_x_parity_sector_mismatch>0.050,n4_h1.00_e0.005_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-3.672774314631813,False,0.8942735861412032,0.09631782182628457,0.11923355948165684,1,target_x_parity_sector_mismatch>0.050,n4_h1.00_e0.005_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,61440,3,5,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,near_critical,low_noise,0.0,0.0,0.0,0.0,0.0
4,1.0,0.01,0,0.05,n4_h1.00_e0.010_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-3.341175491395582,False,0.17031954583576947,0.6593609083284611,1,target_x_parity_sector_mismatch>0.050,n4_h1.00_e0.010_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-3.341175491395582,False,1.1015565827355878,0.17031954583576947,0.14492690347789988,1,target_x_parity_sector_mismatch>0.050,n4_h1.00_e0.010_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,61440,3,5,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,near_critical,moderate_noise,0.0,0.0,0.0,0.0,0.0
4,1.5,0.0,2,0.05,n4_h1.50_e0.000_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-5.7551685818304925,True,4.440892098500626e-16,0.9999999999999991,1,passes_target_x_parity_tolerance,n4_h1.50_e0.000_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-5.7551685818304925,True,0.748722975295923,4.440892098500626e-16,0.1363409269560048,1,passes_target_x_parity_tolerance,n4_h1.50_e0.000_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,,3,5,True,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,strong_field,ideal,,,0.0,0.0,0.0
4,1.5,0.005,0,0.05,n4_h1.50_e0.005_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-5.240987809442367,False,0.09631782182628457,0.8073643563474309,1,target_x_parity_sector_mismatch>0.050,n4_h1.50_e0.005_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-5.240987809442367,False,0.9947464713869181,0.09631782182628457,0.15625172574921803,1,target_x_parity_sector_mismatch>0.050,n4_h1.50_e0.005_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,61440,3,5,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,strong_field,low_noise,0.0,0.0,0.0,0.0,0.0
4,1.5,0.01,0,0.05,n4_h1.50_e0.010_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-4.774823896089891,False,0.17031954583576925,0.6593609083284615,1,target_x_parity_sector_mismatch>0.050,n4_h1.50_e0.010_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-4.774823896089891,False,1.2865031078366629,0.17031954583576925,0.17911652775675937,1,target_x_parity_sector_mismatch>0.050,n4_h1.50_e0.010_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,61440,3,5,False,False,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,strong_field,moderate_noise,0.0,0.0,0.0,0.0,0.0
6,0.5,0.0,2,0.05,n6_h0.50_e0.000_hardware_efficient_d1_COBYLA_s17,hardware_efficient,1,COBYLA,-3.41532086233535,False,0.3828718340454075,0.2342563319091851,1,target_x_parity_sector_mismatch>0.050,n6_h0.50_e0.000_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,-2.378935237961921,True,3.1430943328382934,6.106226635438361e-16,0.39648788044133715,1,passes_target_x_parity_tolerance,n6_h0.50_e0.000_symmetry_preserving_d1_COBYLA_s17,symmetry_preserving,1,COBYLA,,5,7,True,True,"prefer physically valid states, then lowest filtered gap plus symmetry and observable penalties",2.0,0.25,weak_field,ideal,,,-1.036385624373429,0.0,0.0
